Experiment	n:	src_toks	src_mean_len	src_EMD	src_effective_n	src_f90p	src_f95p	src_f98p	src_f99p	src_f100p	tgt_toks	tgt_mean_len	tgt_EMD	tgt_effective_n	tgt_f90p	tgt_f95p	tgt_f98p	tgt_f99p	tgt_f100p	BLEU_dev	prec_corr_dev	recall_corr_dev	BLEU_test	prec_corr_test	recall_corr_test
runs-ende-500k/055-ende-08k08k-r1	8,000	16,662,182	33.32	0.577	7,925	223	95	29	11	1	18,398,429	36.8	0.54	7,940	320	144	38	13	1	33.8	0.006	-0.175	30.2	0.03	-0.139
runs-ende-500k/066-ende-16k16k-r1	16,000	15,236,931	30.47	0.643	15,834	76	34	10	4	1	16,370,721	32.74	0.584	15,861	121	52	14	5	1	33.4	0.074	-0.169	29.3	0.084	-0.142
runs-ende-500k/077-ende-32k32k-r1	32,000	14,422,777	28.85	0.718	31,504	25	11	3	2	1	15,007,546	30.02	0.642	31,622	45	21	6	3	1	32.6	0.101	-0.171	29.4	0.103	-0.137
runs-ende-500k/088-ende-48k48k-r1	48,000	14,123,022	28.25	0.763	46,936	13	6	2	1	1	14,447,860	28.9	0.68	47,267	25	12	4	2	1	31.9	0.131	-0.168	29	0.112	-0.146
runs-ende-500k/099-ende-64k64k-r1	64,000	13,963,724	27.93	0.794	62,064	8	4	2	1	1	14,128,085	28.26	0.708	62,805	16	8	3	1	1	31.5	0.148	-0.174	28.3	0.126	-0.158
																									
runs-ende-001m/000-ende-chars-r1	Chars	140,365,478	140.37	0.814	172	474	380	340	329	326	154,755,230	154.76	0.784	180	554	458	404	394	391	31.8	-0.242	-0.437	28.2	-0.157	-0.445
runs-ende-001m/011-ende-.5k.5k-r1	500	63,813,447	63.81	0.45	492	1209	632	396	350	326	71,437,901	71.44	0.447	493	1289	636	462	406	391	35.2	-0.068	-0.158	31.1	-0.113	-0.275
runs-ende-001m/022-ende-01k01k-r1	1,000	52,546,439	52.55	0.472	982	3278	945	432	357	217	58,645,952	58.65	0.455	982	3182	1062	545	447	48	36.3	-0.063	-0.146	32.2	-0.085	-0.217
runs-ende-001m/033-ende-02k02k-r1	2,000	44,276,633	44.28	0.494	1,978	2611	958	421	308	1	49,668,249	49.67	0.478	1,977	3373	1215	535	309	1	36.9	-0.075	-0.185	32.7	-0.077	-0.172
runs-ende-001m/044-ende-04k04k-r1	4,000	37,872,847	37.87	0.527	3,961	1228	604	219	70	1	42,469,406	42.47	0.507	3,961	1481	686	272	79	1	36.7	-0.022	-0.172	32.9	-0.015	-0.146
runs-ende-001m/055-ende-08k08k-r1	8,000	33,330,873	33.33	0.576	7,933	448	189	55	20	1	36,800,253	36.8	0.539	7,946	632	284	76	24	1	37	0.002	-0.172	33	0.04	-0.14
runs-ende-001m/066-ende-16k16k-r1	16,000	30,474,850	30.47	0.641	15,861	156	69	19	7	1	32,737,955	32.74	0.582	15,901	237	103	27	8	1	36.8	0.059	-0.168	32.8	0.064	-0.135
runs-ende-001m/077-ende-32k32k-r1	32,000	28,846,672	28.85	0.715	31,647	49	21	6	3	1	30,025,073	30.03	0.64	31,733	89	39	10	4	1	36.1	0.074	-0.163	32.5	0.08	-0.128
runs-ende-001m/088-ende-48k48k-r1	48,000	28,245,891	28.25	0.758	47,240	26	11	4	2	1	28,907,806	28.91	0.677	47,468	50	23	6	3	1	35.7	0.106	-0.167	32	0.094	-0.133
runs-ende-001m/099-ende-64k64k-r1	64,000	27,925,914	27.93	0.788	62,675	16	8	3	2	1	28,268,419	28.27	0.704	63,167	32	15	5	2	1	35.1	0.114	-0.161	31.4	0.095	-0.142
																									
runs-ende-all/000-ende-chars-r1	Chars	634,511,409	140.63	0.81	167	2472	1948	1668	1590	1564	700,288,711	155.21	0.784	179	2477	2141	1969	1930	1897	32	-0.188	-0.399	28.2	-0.137	-0.457
runs-ende-all/011-ende-.5k.5k-r1	500	287,120,053	63.64	0.447	492	6457	3052	1977	1705	1565	321,856,031	71.34	0.446	493	5896	2990	2210	1993	1905	36.2	-0.061	-0.169	32.3	-0.029	-0.252
runs-ende-all/022-ende-01k01k-r1	1,000	236,753,079	52.47	0.472	982	16543	4811	2254	1741	1043	264,284,046	58.58	0.453	985	14344	4810	2383	1999	1	37.4	-0.117	-0.165	33.3	-0.08	-0.219
runs-ende-all/033-ende-02k02k-r1	2,000	199,483,963	44.21	0.494	1,978	11818	4542	1989	1370	1	223,940,863	49.63	0.477	1,978	15124	5090	2240	1092	1	38.2	-0.062	-0.199	33.9	-0.086	-0.175
runs-ende-all/044-ende-04k04k-r1	4,000	170,723,003	37.84	0.527	3,965	5578	2757	887	259	1	191,451,271	42.43	0.505	3,965	6828	3082	1122	359	1	38.7	-0.026	-0.164	34.4	-0.022	-0.147
runs-ende-all/055-ende-08k08k-r1	8,000	150,316,864	33.32	0.577	7,947	1975	802	189	69	1	165,983,850	36.79	0.539	7,950	2765	1240	299	111	1	39.1	0.008	-0.163	35.1	0.044	-0.141
runs-ende-all/066-ende-16k16k-r1	16,000	137,487,859	30.47	0.641	15,909	678	282	69	23	1	147,738,248	32.74	0.582	15,927	1065	436	97	26	1	39.6	0.064	-0.163	35.9	0.065	-0.135
runs-ende-all/077-ende-32k32k-r1	32,000	130,197,707	28.86	0.714	31,789	215	84	21	8	1	135,538,106	30.04	0.64	31,858	385	156	33	11	1	40.1	0.081	-0.154	36.8	0.068	-0.133
runs-ende-all/088-ende-48k48k-r1	48,000	127,539,945	28.27	0.756	47,573	109	44	12	5	1	130,552,113	28.94	0.676	47,742	212	87	20	7	1	40.4	0.097	-0.138	36.9	0.079	-0.131
runs-ende-all/099-ende-64k64k-r1	64,000	126,132,509	27.96	0.785	63,267	67	28	8	3	1	127,690,287	28.3	0.702	63,603	136	57	14	5	1	40.3	0.097	-0.147	36.5	0.084	-0.13
																									
runs-enhi-500k/000-enhi-chars-r1	Chars	41,205,595	82.41	0.69	89	4291	2928	2254	1811	1811	40,091,496	80.18	0.723	178	985	701	525	496	492	15.8	-0.261	-0.627	15.4	-0.072	-0.77
